case_id,reported_date,case_type,subject_ar,case_summary_ar,handling_unit,case_status
CASE-00028,2022-12-02,تعارض مصالح,قضية استخدام غير مصرح لبيانات مواقع تخزين تشغيلية,استخراج قوائم مواقع تخزين تشغيلية دون تصريح. المرجع CASE-2022-8133 · الجهة المعنية: الشؤون القانونية.,الشؤون القانونية,مغلق
CASE-00029,2024-04-21,مخالفة مشتريات,قضية تسريب الميزانية الاستراتيجية قبل الاعتماد,تسريب أرقام الميزانية الاستراتيجية إلى جهة خارجية قبل اعتمادها. المرجع CASE-2024-6485 · الجهة المعنية: التدقيق الداخلي.,التدقيق الداخلي,منتهي بتوصيات
CASE-00030,2022-07-22,إساءة استخدام صلاحيات,مراجعة استراتيجية لمخاطر الالتزام في قطاع الأعمال المؤسسية,مراجعة استراتيجية لمخاطر التزام قد تؤدي إلى غرامات تنظيمية. المرجع CASE-2022-6128 · الجهة المعنية: وحدة الالتزام التنظيمي.,وحدة الالتزام التنظيمي,منتهي بتوصيات
CASE-00031,2022-04-05,مخالفة تعاقدية,تحقيق في تواطؤ محتمل بين موردي قطاع التقنية والمشاريع,تحقيق في مؤشرات تنسيق أسعار بين موردين في منافسة مغلقة. المرجع CASE-2022-8969 · الجهة المعنية: التدقيق الداخلي.,التدقيق الداخلي,بانتظار الرد
CASE-00032,2025-08-03,احتيال مالي,قضية تسريب الميزانية الاستراتيجية قبل الاعتماد,تسريب أرقام الميزانية الاستراتيجية إلى جهة خارجية قبل اعتمادها. المرجع CASE-2025-3306 · الجهة المعنية: وحدة الالتزام التنظيمي.,وحدة الالتزام التنظيمي,مغلق
CASE-00033,2020-07-23,مخالفة مشتريات,قضية إساءة استخدام معلومات داخلية في قطاع الحلول الحكومية,قضية استخدام معلومات غير معلنة لتحقيق منفعة شخصية. المرجع CASE-2020-8605 · الجهة المعنية: وحدة مكافحة الاحتيال.,وحدة مكافحة الاحتيال,مغلق
CASE-00034,2025-11-01,مخالفة سلوك مهني,بلاغ مبلّغ عن مخالفات في التشغيل,تحقيق سري في بلاغ مبلّغ مع حماية هويته وفق السياسة. المرجع CASE-2025-5110 · الجهة المعنية: الأمانة العامة.,الأمانة العامة,قيد التحقيق
CASE-00035,2024-11-01,مخالفة تعاقدية,قضية تعارض مصالح في ترسية برنامج الاستحواذ التقني,قضية تعارض مصالح بين عضو لجنة وأحد الموردين المتنافسين. المرجع CASE-2024-1071 · الجهة المعنية: التدقيق الداخلي.,التدقيق الداخلي,قيد المراجعة القانونية
CASE-00036,2021-12-23,تسريب معلومات,تحقيق في تلاعب بسجلات الاعتماد في نظام التحقق الرقمي,تحقيق في تعديل غير مصرح لسجلات الاعتماد المالي. المرجع CASE-2021-6880 · الجهة المعنية: إدارة المخاطر.,إدارة المخاطر,مغلق
CASE-00037,2026-06-06,تسريب معلومات,قضية تعارض مصالح في ترسية برنامج أمن سلاسل الإمداد,قضية تعارض مصالح بين عضو لجنة وأحد الموردين المتنافسين. المرجع CASE-2026-6612 · الجهة المعنية: وحدة مكافحة الاحتيال.,وحدة مكافحة الاحتيال,مغلق
CASE-00038,2022-09-11,احتيال مالي,تحقيق في تسريب خطط عمليات أمنية لفعالية وطنية,تسريب جدول عمليات أمنية قبل تنفيذ الفعالية الوطنية. المرجع CASE-2022-5326 · الجهة المعنية: الموارد البشرية.,الموارد البشرية,بانتظار الرد
CASE-00039,2019-12-30,مخالفة تعاقدية,قضية تعارض مصالح في ترسية برنامج الذكاء الاصطناعي المؤسسي,قضية تعارض مصالح بين عضو لجنة وأحد الموردين المتنافسين. المرجع CASE-2019-6448 · الجهة المعنية: الموارد البشرية.,الموارد البشرية,محال للجهة المختصة
CASE-00040,2022-05-07,استخدام غير مصرح للأنظمة,قضية تسريب الميزانية الاستراتيجية قبل الاعتماد,تسريب أرقام الميزانية الاستراتيجية إلى جهة خارجية قبل اعتمادها. المرجع CASE-2022-4784 · الجهة المعنية: إدارة المخاطر.,إدارة المخاطر,منتهي بتوصيات
CASE-00041,2019-02-18,إساءة استخدام صلاحيات,قضية إساءة استخدام معلومات داخلية في قطاع التقنية والمشاريع,قضية استخدام معلومات غير معلنة لتحقيق منفعة شخصية. المرجع CASE-2019-8776 · الجهة المعنية: وحدة مكافحة الاحتيال.,وحدة مكافحة الاحتيال,مغلق
CASE-00042,2023-03-22,بلاغ مبلّغ,طلب إجازة طبي ممتدة - المالية,ملف طبي داعم لطلب إجازة ممتدة لأحد المنسوبين. المرجع CASE-2023-2141 · الجهة المعنية: الأمانة العامة.,الأمانة العامة,منتهي بتوصيات
CASE-00043,2024-12-23,مخالفة سلوك مهني,مراجعة استراتيجية لمخاطر الالتزام في قطاع الشراكات,مراجعة استراتيجية لمخاطر التزام قد تؤدي إلى غرامات تنظيمية. المرجع CASE-2024-4186 · الجهة المعنية: الأمانة العامة.,الأمانة العامة,بانتظار الرد
CASE-00044,2025-03-08,مخالفة مشتريات,مراجعة استراتيجية لمخاطر الالتزام في قطاع الأعمال المؤسسية,مراجعة استراتيجية لمخاطر التزام قد تؤدي إلى غرامات تنظيمية. المرجع CASE-2025-5749 · الجهة المعنية: التدقيق الداخلي.,التدقيق الداخلي,منتهي بتوصيات
CASE-00045,2024-09-27,مخالفة تعاقدية,قضية تسريب الميزانية الاستراتيجية قبل الاعتماد,تسريب أرقام الميزانية الاستراتيجية إلى جهة خارجية قبل اعتمادها. المرجع CASE-2024-1659 · الجهة المعنية: الشؤون القانونية.,الشؤون القانونية,بانتظار الرد
CASE-00046,2023-12-21,تسريب معلومات,تحقيق في احتيال مالي بقيمة تقديرية 23 مليون ريال,تحقيق داخلي في معاملات مالية غير مبررة وتوصيات الإحالة. المرجع CASE-2023-5296 · الجهة المعنية: التدقيق الداخلي.,التدقيق الداخلي,مغلق
CASE-00047,2020-10-30,مخالفة سلوك مهني,بلاغ مبلّغ عن مخالفات في الاتصال المؤسسي,تحقيق سري في بلاغ مبلّغ مع حماية هويته وفق السياسة. المرجع CASE-2020-3011 · الجهة المعنية: وحدة مكافحة الاحتيال.,وحدة مكافحة الاحتيال,منتهي بتوصيات
CASE-00048,2022-11-22,تسريب معلومات,بلاغ مبلّغ عن مخالفات في الخدمات المساندة,تحقيق سري في بلاغ مبلّغ مع حماية هويته وفق السياسة. المرجع CASE-2022-5356 · الجهة المعنية: الموارد البشرية.,الموارد البشرية,قيد المراجعة القانونية
CASE-00049,2022-02-05,تسريب معلومات,طلب تصحيح بيانات هوية في سجل الموظفين,طلب تصحيح حقول هوية وبيانات تواصل في السجل. المرجع CASE-2022-3369 · الجهة المعنية: التدقيق الداخلي.,التدقيق الداخلي,قيد التحقيق
CASE-00050,2019-02-25,مخالفة سلوك مهني,ملف مراجعة خاصة رقم SR-2019-688,مراجعة خاصة بتوجيه من اللجنة مع حظر التداول حتى صدور النتيجة. المرجع CASE-2019-2671 · الجهة المعنية: الموارد البشرية.,الموارد البشرية,قيد التحقيق
CASE-00051,2026-06-19,مخالفة تعاقدية,مراجعة استراتيجية لمخاطر الالتزام في قطاع الخدمات الرقمية,مراجعة استراتيجية لمخاطر التزام قد تؤدي إلى غرامات تنظيمية. المرجع CASE-2026-8461 · الجهة المعنية: وحدة الالتزام التنظيمي.,وحدة الالتزام التنظيمي,قيد المراجعة القانونية
CASE-00052,2021-04-06,مخالفة سلوك مهني,تحقيق في مخالفة تعاقدية مع دولة شريكة,تحقيق في إخلال ببنود تعاقدية قد يرتب مطالبات مالية كبيرة. المرجع CASE-2021-6739 · الجهة المعنية: الأمانة العامة.,الأمانة العامة,منتهي بتوصيات
CASE-00053,2020-10-21,إساءة استخدام صلاحيات,قضية مساس بمتطلبات سيادة البيانات الوطنية,استضافة بيانات وطنية خارج النطاق بما يخالف متطلبات سيادة البيانات. المرجع CASE-2020-9832 · الجهة المعنية: الشؤون القانونية.,الشؤون القانونية,بانتظار الرد
CASE-00054,2020-05-10,إساءة استخدام صلاحيات,تحقيق في احتيال مالي بقيمة تقديرية 32 مليون ريال,تحقيق داخلي في معاملات مالية غير مبررة وتوصيات الإحالة. المرجع CASE-2020-8041 · الجهة المعنية: التدقيق الداخلي.,التدقيق الداخلي,مغلق
CASE-00055,2024-11-24,مخالفة مشتريات,مخالفة في التعامل مع مخرجات مورد عسكري المنشأ,استخدام مكوّن عسكري المنشأ خارج الضوابط التعاقدية المعتمدة. المرجع CASE-2024-3383 · الجهة المعنية: مكتب حماية المبلّغين.,مكتب حماية المبلّغين,منتهي بتوصيات
CASE-00056,2022-05-30,مخالفة مشتريات,قضية استخدام غير مصرح لبيانات مواقع تخزين تشغيلية,استخراج قوائم مواقع تخزين تشغيلية دون تصريح. المرجع CASE-2022-3260 · الجهة المعنية: مكتب حماية المبلّغين.,مكتب حماية المبلّغين,منتهي بتوصيات
CASE-00057,2024-10-16,تسريب معلومات,تحقيق في تلاعب بسجلات الاعتماد في نظام الأرشفة الإلكترونية,تحقيق في تعديل غير مصرح لسجلات الاعتماد المالي. المرجع CASE-2024-8822 · الجهة المعنية: وحدة مكافحة الاحتيال.,وحدة مكافحة الاحتيال,بانتظار الرد
CASE-00058,2021-04-23,إساءة استخدام صلاحيات,قضية استخدام غير مصرح لبيانات مواقع تخزين تشغيلية,استخراج قوائم مواقع تخزين تشغيلية دون تصريح. المرجع CASE-2021-3447 · الجهة المعنية: وحدة الالتزام التنظيمي.,وحدة الالتزام التنظيمي,محال للجهة المختصة
CASE-00059,2019-10-10,تسريب معلومات,ملخص مواجهة أطراف في الملف رقم MF-2019-758,محضر مواجهة يتضمن إفادات أطراف قد ترتب مسؤولية نظامية. المرجع CASE-2019-8474 · الجهة المعنية: مكتب حماية المبلّغين.,مكتب حماية المبلّغين,قيد التحقيق
CASE-00060,2019-05-11,تعارض مصالح,تحقيق في احتيال مالي بقيمة تقديرية 35 مليون ريال,تحقيق داخلي في معاملات مالية غير مبررة وتوصيات الإحالة. المرجع CASE-2019-2345 · الجهة المعنية: إدارة المخاطر.,إدارة المخاطر,بانتظار الرد
CASE-00061,2025-07-19,مخالفة تعاقدية,مراجعة استراتيجية لمخاطر الالتزام في قطاع الأعمال المؤسسية,مراجعة استراتيجية لمخاطر التزام قد تؤدي إلى غرامات تنظيمية. المرجع CASE-2025-7232 · الجهة المعنية: إدارة المخاطر.,إدارة المخاطر,قيد التحقيق
CASE-00062,2024-01-26,تعارض مصالح,قضية مساس بمتطلبات سيادة البيانات الوطنية,استضافة بيانات وطنية خارج النطاق بما يخالف متطلبات سيادة البيانات. المرجع CASE-2024-2500 · الجهة المعنية: إدارة المخاطر.,إدارة المخاطر,مغلق
CASE-00063,2026-02-18,احتيال مالي,ملف مراجعة خاصة رقم SR-2026-229,مراجعة خاصة بتوجيه من اللجنة مع حظر التداول حتى صدور النتيجة. المرجع CASE-2026-9286 · الجهة المعنية: إدارة المخاطر.,إدارة المخاطر,قيد المراجعة القانونية
CASE-00064,2025-06-16,استخدام غير مصرح للأنظمة,قضية استخدام غير مصرح لبيانات مواقع تخزين تشغيلية,استخراج قوائم مواقع تخزين تشغيلية دون تصريح. المرجع CASE-2025-2059 · الجهة المعنية: التدقيق الداخلي.,التدقيق الداخلي,مغلق
CASE-00065,2019-01-17,تعارض مصالح,مراجعة استراتيجية لمخاطر الالتزام في قطاع الشراكات,مراجعة استراتيجية لمخاطر التزام قد تؤدي إلى غرامات تنظيمية. المرجع CASE-2019-5869 · الجهة المعنية: الأمانة العامة.,الأمانة العامة,بانتظار الرد
CASE-00066,2022-02-11,تسريب معلومات,شكوى بيئة عمل في المشتريات,شكوى موظف تتضمن بيانات شخصية وتفاصيل تواصل داخلية. المرجع CASE-2022-6168 · الجهة المعنية: التدقيق الداخلي.,التدقيق الداخلي,قيد المراجعة القانونية
CASE-00067,2020-03-31,تسريب معلومات,مراجعة استراتيجية لمخاطر الالتزام في قطاع الحلول الحكومية,مراجعة استراتيجية لمخاطر التزام قد تؤدي إلى غرامات تنظيمية. المرجع CASE-2020-1808 · الجهة المعنية: مكتب حماية المبلّغين.,مكتب حماية المبلّغين,قيد المراجعة القانونية
CASE-00068,2023-12-04,بلاغ مبلّغ,تحقيق في مخالفة تعاقدية مع تحالف صناعي دولي,تحقيق في إخلال ببنود تعاقدية قد يرتب مطالبات مالية كبيرة. المرجع CASE-2023-4262 · الجهة المعنية: إدارة المخاطر.,إدارة المخاطر,محال للجهة المختصة
CASE-00069,2022-08-16,مخالفة تعاقدية,مراجعة استراتيجية لمخاطر الالتزام في قطاع البنية التحتية,مراجعة استراتيجية لمخاطر التزام قد تؤدي إلى غرامات تنظيمية. المرجع CASE-2022-6301 · الجهة المعنية: الأمانة العامة.,الأمانة العامة,منتهي بتوصيات
CASE-00070,2024-03-05,مخالفة سلوك مهني,قضية تسريب الميزانية الاستراتيجية قبل الاعتماد,تسريب أرقام الميزانية الاستراتيجية إلى جهة خارجية قبل اعتمادها. المرجع CASE-2024-4110 · الجهة المعنية: الموارد البشرية.,الموارد البشرية,قيد التحقيق
CASE-00071,2024-07-28,إساءة استخدام صلاحيات,تحقيق في تسريب خطط عمليات أمنية لفعالية وطنية,تسريب جدول عمليات أمنية قبل تنفيذ الفعالية الوطنية. المرجع CASE-2024-4763 · الجهة المعنية: إدارة المخاطر.,إدارة المخاطر,مغلق
CASE-00072,2024-09-15,تعارض مصالح,منشور سياسة السلوك المهني - التخطيط والتطوير 2024,منشور عام يوضح مبادئ السلوك المهني المعتمدة. المرجع CASE-2024-7816 · الجهة المعنية: الموارد البشرية.,الموارد البشرية,بانتظار الرد
CASE-00073,2019-03-09,مخالفة مشتريات,منشور سياسة السلوك المهني - المالية 2019,منشور عام يوضح مبادئ السلوك المهني المعتمدة. المرجع CASE-2019-9058 · الجهة المعنية: وحدة الالتزام التنظيمي.,وحدة الالتزام التنظيمي,منتهي بتوصيات
CASE-00074,2020-05-22,احتيال مالي,قضية مساس بمتطلبات سيادة البيانات الوطنية,استضافة بيانات وطنية خارج النطاق بما يخالف متطلبات سيادة البيانات. المرجع CASE-2020-6639 · الجهة المعنية: الموارد البشرية.,الموارد البشرية,مغلق
CASE-00075,2023-12-01,إساءة استخدام صلاحيات,تحقيق في تسريب مسودة مذكرة تفاهم مع شريك خارجي,تسريب مسودة مذكرة تفاهم قبل توقيعها رسميًا. المرجع CASE-2023-8223 · الجهة المعنية: وحدة الالتزام التنظيمي.,وحدة الالتزام التنظيمي,قيد المراجعة القانونية
CASE-00076,2019-10-15,مخالفة سلوك مهني,طلب تصحيح بيانات هوية في سجل الموظفين,طلب تصحيح حقول هوية وبيانات تواصل في السجل. المرجع CASE-2019-6898 · الجهة المعنية: الشؤون القانونية.,الشؤون القانونية,محال للجهة المختصة
CASE-00077,2024-05-07,مخالفة مشتريات,ملف مراجعة خاصة رقم SR-2024-717,مراجعة خاصة بتوجيه من اللجنة مع حظر التداول حتى صدور النتيجة. المرجع CASE-2024-9721 · الجهة المعنية: الأمانة العامة.,الأمانة العامة,محال للجهة المختصة
CASE-00078,2021-05-08,بلاغ مبلّغ,قضية اشتباه تجسس إلكتروني على شبكة الربط الحكومي,تعاون مع جهات استخبارات وطنية بشأن نشاط تجسس مشتبه به. المرجع CASE-2021-9873 · الجهة المعنية: الموارد البشرية.,الموارد البشرية,قيد المراجعة القانونية
CASE-00079,2022-03-12,مخالفة مشتريات,بلاغ مبلّغ عن مخالفات في التدقيق الداخلي,تحقيق سري في بلاغ مبلّغ مع حماية هويته وفق السياسة. المرجع CASE-2022-6236 · الجهة المعنية: التدقيق الداخلي.,التدقيق الداخلي,منتهي بتوصيات
CASE-00080,2023-01-02,بلاغ مبلّغ,تحقيق في احتيال مالي بقيمة تقديرية 20 مليون ريال,تحقيق داخلي في معاملات مالية غير مبررة وتوصيات الإحالة. المرجع CASE-2023-1925 · الجهة المعنية: إدارة المخاطر.,إدارة المخاطر,قيد التحقيق
CASE-00081,2021-12-25,مخالفة سلوك مهني,قضية تسريب الميزانية الاستراتيجية قبل الاعتماد,تسريب أرقام الميزانية الاستراتيجية إلى جهة خارجية قبل اعتمادها. المرجع CASE-2021-7799 · الجهة المعنية: الموارد البشرية.,الموارد البشرية,منتهي بتوصيات
CASE-00082,2021-08-03,استخدام غير مصرح للأنظمة,قضية تعارض مصالح في ترسية برنامج تحديث البنية التقنية,قضية تعارض مصالح بين عضو لجنة وأحد الموردين المتنافسين. المرجع CASE-2021-3730 · الجهة المعنية: وحدة الالتزام التنظيمي.,وحدة الالتزام التنظيمي,قيد التحقيق
CASE-00083,2025-05-21,مخالفة سلوك مهني,تحقيق في مخالفة تعاقدية مع دولة شريكة,تحقيق في إخلال ببنود تعاقدية قد يرتب مطالبات مالية كبيرة. المرجع CASE-2025-7998 · الجهة المعنية: التدقيق الداخلي.,التدقيق الداخلي,محال للجهة المختصة
CASE-00084,2021-08-18,احتيال مالي,طلب تصحيح بيانات هوية في سجل الموظفين,طلب تصحيح حقول هوية وبيانات تواصل في السجل. المرجع CASE-2021-9500 · الجهة المعنية: مكتب حماية المبلّغين.,مكتب حماية المبلّغين,مغلق
CASE-00085,2025-02-11,بلاغ مبلّغ,قضية اشتباه تجسس إلكتروني على شبكة الربط الحكومي,تعاون مع جهات استخبارات وطنية بشأن نشاط تجسس مشتبه به. المرجع CASE-2025-5046 · الجهة المعنية: التدقيق الداخلي.,التدقيق الداخلي,مغلق
CASE-00086,2023-12-09,تعارض مصالح,تحقيق في تسريب مسودة مذكرة تفاهم مع شريك خارجي,تسريب مسودة مذكرة تفاهم قبل توقيعها رسميًا. المرجع CASE-2023-2322 · الجهة المعنية: مكتب حماية المبلّغين.,مكتب حماية المبلّغين,بانتظار الرد
CASE-00087,2020-03-06,استخدام غير مصرح للأنظمة,تحقيق في احتيال مالي بقيمة تقديرية 35 مليون ريال,تحقيق داخلي في معاملات مالية غير مبررة وتوصيات الإحالة. المرجع CASE-2020-5435 · الجهة المعنية: الموارد البشرية.,الموارد البشرية,قيد المراجعة القانونية
CASE-00088,2023-07-02,احتيال مالي,طلب تصحيح بيانات هوية في سجل الموظفين,طلب تصحيح حقول هوية وبيانات تواصل في السجل. المرجع CASE-2023-1478 · الجهة المعنية: الشؤون القانونية.,الشؤون القانونية,محال للجهة المختصة
CASE-00089,2019-09-18,استخدام غير مصرح للأنظمة,قضية تعارض مصالح في ترسية برنامج تكامل الأنظمة الحكومية,قضية تعارض مصالح بين عضو لجنة وأحد الموردين المتنافسين. المرجع CASE-2019-6661 · الجهة المعنية: وحدة الالتزام التنظيمي.,وحدة الالتزام التنظيمي,مغلق
CASE-00090,2021-02-15,استخدام غير مصرح للأنظمة,ملف مراجعة خاصة رقم SR-2021-166,مراجعة خاصة بتوجيه من اللجنة مع حظر التداول حتى صدور النتيجة. المرجع CASE-2021-2297 · الجهة المعنية: الأمانة العامة.,الأمانة العامة,قيد المراجعة القانونية
CASE-00091,2023-11-04,مخالفة مشتريات,تحقيق في مخالفة تعاقدية مع صندوق استثماري دولي,تحقيق في إخلال ببنود تعاقدية قد يرتب مطالبات مالية كبيرة. المرجع CASE-2023-3758 · الجهة المعنية: الموارد البشرية.,الموارد البشرية,بانتظار الرد
CASE-00092,2021-04-10,تعارض مصالح,اعتراض على احتساب راتب موظف في الاتصال المؤسسي,طلب مراجعة احتساب راتب وبدلات لموظف واحد. المرجع CASE-2021-7411 · الجهة المعنية: إدارة المخاطر.,إدارة المخاطر,قيد التحقيق
